policy_id,age,gender,region,policy_tenure_months,vehicle_age_years,vehicle_type,annual_premium,num_prev_claims,driving_experience_years,credit_score,annual_mileage_km,has_anti_theft,occupation,marital_status,claim,claim_amount,claim_age
P100024,61,Female,East,10,4,Truck,12132.59,0,41.0,673.0,9970.0,No,Employed,Married,1,66253.85,61.0
P100025,47,Male,West,47,20,SUV,12704.14,0,29.0,601.0,3525.0,No,Employed,Single,1,43369.96,48.0
P100026,55,Female,South,4,16,Truck,6262.6,1,37.0,666.0,14124.0,Yes,Unemployed,Single,0,0.0,
P100027,19,Male,West,12,5,Sedan,8888.29,0,1.0,557.0,14871.0,No,Self-employed,Single,1,29242.49,20.0
P100028,77,Female,East,42,10,SUV,11139.76,0,60.0,736.0,8690.0,Yes,Employed,Single,1,54622.81,78.0
P100029,38,Female,East,226,4,Truck,14784.08,0,22.0,510.0,5974.0,No,Employed,Married,1,68181.36,38.0
P100030,50,Male,South,4,6,Truck,10197.25,1,29.0,593.0,20652.0,No,Unemployed,Single,1,67922.42,51.0
P100031,29,Male,South,84,6,Truck,9123.14,0,11.0,574.0,13281.0,Yes,Employed,Married,1,47236.7,29.0
P100032,75,Female,South,92,3,SUV,8386.36,1,,677.0,100.0,No,Employed,Married,1,41519.19,75.0
P100033,39,Female,South,92,20,Motorcycle,13433.91,0,18.0,616.0,9858.0,No,Employed,Married,1,29012.12,40.0
P100034,78,Female,North,6,9,Sedan,11633.66,0,60.0,637.0,8742.0,No,Self-employed,Married,1,44949.25,79.0
P100035,61,Male,North,142,17,Sedan,8468.85,0,45.0,605.0,8373.0,No,Unemployed,Married,1,46949.66,61.0
P100036,42,Male,West,35,0,Sedan,11225.62,1,22.0,554.0,17461.0,No,Employed,Married,1,24295.23,42.0
P100037,66,Male,East,175,13,Motorcycle,8988.54,1,47.0,634.0,13265.0,Yes,Employed,Single,1,34972.01,67.0
P100038,44,Female,East,186,5,Sedan,8086.71,0,23.0,559.0,15177.0,Yes,Employed,Married,0,0.0,
P100039,76,Female,West,65,10,Truck,5607.55,1,60.0,522.0,11310.0,No,Employed,Single,1,71467.31,77.0
P100040,80,Male,West,147,13,Sedan,6564.52,1,60.0,694.0,16267.0,No,Employed,Single,1,46765.41,80.0
P100041,59,Male,West,57,19,Sedan,11789.06,0,40.0,563.0,10133.0,No,Retired,Married,1,45103.43,60.0
P100042,45,Male,North,193,2,SUV,3893.98,0,25.0,752.0,13164.0,No,Unemployed,Married,1,33038.95,46.0
P100043,77,Male,West,13,15,SUV,8629.8,1,60.0,749.0,14437.0,No,Employed,Single,1,35710.56,78.0
P100044,33,Male,East,136,15,Sedan,14588.15,0,17.0,712.0,8885.0,No,Self-employed,Single,1,47198.82,34.0
P100045,32,Male,West,18,6,SUV,15927.96,0,16.0,570.0,1517.0,No,Employed,Single,1,34545.19,32.0
P100046,79,Male,South,163,7,Sedan,13480.61,0,59.0,,3534.0,Yes,Self-employed,Married,1,54209.01,80.0
P100047,79,Male,East,87,3,SUV,15263.65,0,60.0,485.0,23560.0,No,Employed,Married,0,0.0,
P100048,64,Female,East,114,11,Sedan,12078.64,0,43.0,588.0,15256.0,Yes,Employed,Married,1,43289.69,65.0
P100049,79,Male,East,26,11,SUV,7789.35,0,58.0,708.0,15491.0,Yes,Unemployed,Single,1,56832.72,79.0
P100050,68,Male,North,233,9,Sedan,14743.33,0,47.0,703.0,19107.0,Yes,Retired,Single,1,44689.34,68.0
P100051,61,Male,North,166,11,SUV,13946.78,0,43.0,599.0,6375.0,Yes,Unemployed,Married,1,39768.97,62.0
P100052,72,Male,East,212,10,Sedan,9840.19,1,53.0,595.0,8378.0,Yes,Unemployed,Married,1,32351.12,72.0
P100053,69,Male,South,66,10,Sedan,9510.34,0,50.0,635.0,6476.0,No,Self-employed,Single,1,21540.99,70.0
P100054,74,Male,East,26,14,Sedan,11817.38,0,56.0,644.0,23783.0,Yes,Self-employed,Single,1,61486.71,75.0
P100055,20,Female,North,126,5,Truck,16532.32,0,3.0,617.0,7011.0,No,Employed,Married,0,0.0,
P100056,54,Female,South,57,10,SUV,10496.27,0,36.0,766.0,18271.0,No,Employed,Married,1,61640.01,54.0
P100057,68,Female,East,228,1,Motorcycle,2000.0,0,51.0,602.0,8705.0,No,Employed,Married,0,0.0,
P100058,24,Female,North,25,8,Motorcycle,13733.78,1,4.0,753.0,12426.0,No,Employed,Married,1,22094.82,25.0
P100059,38,Female,South,30,10,Truck,7562.64,1,17.0,678.0,18352.0,No,Unemployed,Married,0,0.0,
P100060,26,Female,West,210,15,Truck,13780.24,0,9.0,721.0,13430.0,Yes,Employed,Single,0,0.0,
P100061,56,Male,West,135,12,SUV,13626.61,0,35.0,545.0,11342.0,Yes,Employed,Single,1,52040.36,56.0
P100062,35,Male,East,27,12,SUV,18154.25,0,15.0,722.0,23342.0,No,Employed,Married,1,40869.37,36.0
P100063,21,Female,West,139,17,SUV,11603.17,0,0.0,719.0,2830.0,No,Self-employed,Married,1,12152.36,22.0
P100064,42,Male,North,101,20,Sedan,13984.0,0,21.0,603.0,7280.0,Yes,Retired,Married,1,18268.76,42.0
P100065,77,Male,South,136,0,Sedan,12534.96,0,60.0,709.0,10452.0,Yes,Unemployed,Married,1,57034.79,77.0
P100066,31,Female,East,11,19,SUV,15515.1,0,13.0,546.0,17221.0,No,Employed,Married,1,36369.5,31.0
P100067,67,Female,South,126,9,Truck,2000.0,0,48.0,617.0,9482.0,Yes,Employed,Married,1,84153.6,67.0
P100068,75,Male,South,216,18,Sedan,9291.3,0,59.0,732.0,16839.0,No,Employed,Single,1,42784.12,76.0
P100069,26,Female,South,30,16,Sedan,11012.54,0,7.0,637.0,3388.0,No,Self-employed,Single,1,19351.19,26.0
P100070,43,Male,North,94,0,SUV,12187.0,0,26.0,632.0,17741.0,No,Unemployed,Single,1,37137.39,43.0
P100071,70,Female,East,116,0,Motorcycle,7144.17,1,52.0,748.0,16468.0,Yes,Employed,Single,0,0.0,
P100072,19,Male,West,15,16,Sedan,13185.49,0,1.0,513.0,6626.0,No,Self-employed,Married,1,19019.9,19.0
P100073,37,Male,South,184,14,SUV,15529.0,0,19.0,638.0,11828.0,No,Self-employed,Married,1,19628.06,38.0
P100074,45,Female,South,35,1,Motorcycle,9229.19,0,29.0,645.0,10653.0,Yes,Unemployed,Single,0,0.0,
P100075,64,Male,South,39,10,Sedan,8111.42,1,44.0,594.0,,Yes,Self-employed,Single,1,31651.07,65.0
P100076,77,Female,North,24,20,Motorcycle,13581.77,1,60.0,746.0,17806.0,Yes,Unemployed,Single,1,64227.05,77.0
P100077,24,Male,West,8,1,Motorcycle,12637.0,0,8.0,586.0,8585.0,No,Employed,Single,1,44608.98,25.0
P100078,61,Male,South,43,19,Sedan,12933.98,0,45.0,587.0,13847.0,No,Self-employed,Married,1,47069.56,62.0
P100079,78,Female,North,170,8,Sedan,6191.01,0,58.0,477.0,13228.0,No,Employed,Single,1,61235.75,78.0
P100080,25,Male,North,84,18,Sedan,22944.36,0,6.0,728.0,12625.0,No,Retired,Single,1,34331.23,26.0
P100081,64,Male,South,169,1,Sedan,2127.24,0,45.0,627.0,19277.0,No,Employed,Married,1,38011.99,64.0
P100082,52,Male,South,47,15,Motorcycle,15462.56,0,34.0,627.0,12803.0,No,Unemployed,Married,0,0.0,
P100083,31,Female,North,26,19,Sedan,9129.9,0,15.0,635.0,5925.0,No,Retired,Single,1,35719.86,32.0
P100084,34,Female,North,180,8,Motorcycle,24087.14,0,14.0,734.0,15689.0,No,Self-employed,Single,1,27171.81,34.0
P100085,53,Female,South,216,19,Sedan,13757.08,0,33.0,763.0,20005.0,Yes,Unemployed,Married,1,26829.96,53.0
P100086,67,Male,North,150,20,Motorcycle,16267.35,0,48.0,529.0,12700.0,No,Unemployed,Single,1,34304.77,67.0
P100087,57,Male,North,133,3,Sedan,13991.68,0,37.0,618.0,18760.0,No,Employed,Single,0,0.0,
P100088,21,Male,South,143,12,SUV,2222.82,0,2.0,571.0,9903.0,No,Employed,Married,1,26609.56,22.0
P100089,19,Female,South,164,14,Sedan,12449.46,0,0.0,634.0,14071.0,No,Retired,Married,0,0.0,
P100090,79,Male,East,101,19,Sedan,13442.34,0,58.0,644.0,4186.0,No,Employed,Married,1,51185.76,79.0
P100091,23,Female,West,63,1,Sedan,13893.84,0,7.0,530.0,8951.0,No,Employed,Married,1,35940.87,24.0
P100092,71,Male,South,93,19,Sedan,16732.26,0,50.0,676.0,12843.0,Yes,Employed,Married,0,0.0,
P100093,59,Female,South,207,17,Sedan,12908.73,0,42.0,619.0,15349.0,No,Employed,Single,1,34169.75,59.0
P100094,21,Female,South,219,8,SUV,15218.84,1,0.0,705.0,14183.0,No,Retired,Single,1,13611.62,22.0
P100095,71,Female,West,177,19,Sedan,8956.87,2,53.0,652.0,18402.0,Yes,Employed,Married,1,34720.09,71.0
P100096,46,Male,East,55,0,Truck,4940.97,1,29.0,530.0,4355.0,No,Unemployed,Single,1,52283.29,47.0
P100097,80,Male,North,72,2,SUV,8305.19,0,60.0,693.0,19349.0,No,Employed,Single,1,43065.74,81.0
P100098,35,Male,West,60,16,Truck,9029.68,1,14.0,556.0,8432.0,No,Employed,Single,0,0.0,
P100099,43,Male,South,185,10,Motorcycle,8310.13,1,26.0,564.0,5857.0,No,Self-employed,Single,1,28442.35,44.0
P100100,61,Male,South,29,7,Truck,7105.48,0,44.0,628.0,17185.0,No,Employed,Married,0,0.0,
P100101,51,Male,East,19,20,Sedan,8169.8,0,32.0,630.0,6438.0,Yes,Self-employed,Married,1,25324.27,52.0
P100102,27,Male,East,223,11,Sedan,10237.84,0,11.0,527.0,19068.0,No,Retired,Single,1,23641.4,27.0
P100103,79,Female,East,73,10,SUV,7918.82,1,59.0,640.0,1089.0,Yes,Unemployed,Single,1,46855.99,79.0
P100104,53,Female,North,138,12,SUV,22269.32,0,35.0,644.0,8222.0,No,Unemployed,Single,1,46864.28,54.0
P100105,31,Male,West,101,14,Sedan,6401.0,0,12.0,641.0,16385.0,Yes,Employed,Single,1,30469.82,31.0
P100106,48,Female,West,138,19,SUV,13759.71,0,30.0,532.0,15362.0,No,Employed,Married,1,33548.95,48.0
P100107,65,Male,East,225,16,Sedan,9836.68,0,49.0,660.0,100.0,No,Unemployed,Married,1,48155.29,65.0
P100108,32,Male,North,217,11,Sedan,14147.3,0,15.0,693.0,8681.0,Yes,Self-employed,Married,0,0.0,
P100109,25,Male,West,57,18,Truck,11031.69,0,4.0,556.0,3421.0,Yes,Employed,Single,0,0.0,
P100110,31,Female,South,182,19,Sedan,15402.94,0,14.0,575.0,12693.0,No,Employed,Married,1,45937.02,32.0
P100111,40,Male,South,184,10,Sedan,10401.61,0,24.0,705.0,12256.0,No,Self-employed,Married,0,0.0,
P100112,77,Male,South,68,9,Sedan,12349.26,0,57.0,761.0,10762.0,Yes,Employed,Single,1,46139.78,77.0
P100113,74,Female,West,197,16,Sedan,3169.82,0,55.0,638.0,11466.0,Yes,Employed,Married,1,45252.83,75.0
P100114,79,Male,East,87,12,Sedan,6501.04,0,60.0,619.0,6492.0,No,Employed,Married,1,30615.09,79.0
P100115,57,Female,South,103,15,Sedan,5783.11,0,36.0,664.0,8330.0,No,Employed,Married,1,23270.31,58.0
P100116,38,Female,East,183,19,Sedan,18065.62,0,22.0,745.0,17333.0,Yes,Retired,Married,1,50644.55,39.0
P100117,33,Female,North,197,19,Sedan,15728.19,1,14.0,590.0,9552.0,No,Employed,Married,1,27679.12,33.0
P100118,62,Male,South,72,16,Sedan,12779.47,1,43.0,616.0,9142.0,Yes,Self-employed,Married,1,38952.46,62.0
P100119,35,Male,North,209,4,Sedan,16181.92,0,19.0,614.0,17699.0,No,Employed,Married,1,28454.39,35.0
P100120,64,Male,East,129,8,Sedan,7944.75,0,47.0,551.0,6106.0,No,Unemployed,Married,1,42560.25,65.0
P100121,70,Male,West,118,3,Truck,17950.18,1,50.0,710.0,19398.0,Yes,Self-employed,Married,1,63620.04,71.0
P100122,41,Male,East,140,8,SUV,12387.79,0,24.0,668.0,19824.0,Yes,Retired,Married,0,0.0,
P100123,43,Male,South,163,15,SUV,11046.73,1,26.0,509.0,6922.0,No,Self-employed,Single,1,32149.48,43.0
P100124,42,Female,South,116,6,SUV,16059.27,1,25.0,649.0,16603.0,Yes,Retired,Married,1,38096.62,43.0
P100125,77,Female,East,206,13,Sedan,15821.03,0,56.0,766.0,1190.0,No,Employed,Single,0,0.0,
P100126,77,Male,South,240,13,Motorcycle,6322.37,0,60.0,669.0,12509.0,No,Employed,Single,1,43921.58,78.0
P100127,77,Male,South,82,6,Sedan,15447.18,0,56.0,762.0,6957.0,No,Self-employed,Married,1,26033.09,78.0
P100128,62,Male,North,202,15,Sedan,11308.48,1,41.0,611.0,14527.0,Yes,Employed,Married,1,49339.06,62.0
P100129,58,Male,West,207,17,Sedan,13109.44,0,40.0,718.0,13574.0,No,Retired,Single,1,44900.38,59.0
P100130,46,Female,East,234,5,Motorcycle,10352.45,0,30.0,742.0,10617.0,No,Employed,Married,1,21078.67,47.0
P100131,32,Female,North,161,6,Motorcycle,7611.3,0,12.0,645.0,6535.0,No,Employed,Married,0,0.0,
P100132,62,Female,South,211,18,Truck,6587.49,0,41.0,621.0,16586.0,No,Unemployed,Married,1,62984.35,63.0
P100133,18,Female,North,226,7,Sedan,9520.12,0,0.0,727.0,11843.0,No,Unemployed,Single,1,37735.37,18.0
P100134,42,Female,West,109,0,Motorcycle,13743.55,0,24.0,688.0,8463.0,Yes,Unemployed,Single,1,40118.35,43.0
P100135,24,Female,East,153,16,Sedan,13019.63,1,4.0,717.0,9434.0,Yes,Employed,Married,1,16386.79,24.0
P100136,26,Male,West,16,18,SUV,12812.44,0,8.0,679.0,11522.0,No,Employed,Single,1,49272.48,26.0
P100137,41,Female,West,136,6,Motorcycle,15187.66,0,23.0,644.0,11504.0,No,Employed,Single,0,0.0,
P100138,18,Male,North,35,17,Truck,11777.67,0,0.0,644.0,13550.0,No,Employed,Single,1,51335.13,19.0
P100139,61,Male,North,213,5,Sedan,19580.14,0,41.0,625.0,16779.0,No,Self-employed,Married,1,37791.58,62.0
P100140,25,Male,West,211,20,Truck,13508.83,0,5.0,678.0,17237.0,No,Unemployed,Single,1,39064.17,25.0
P100141,41,Male,South,174,5,Sedan,8052.24,0,24.0,638.0,10868.0,No,Employed,Single,1,28290.35,41.0
P100142,80,Female,East,139,0,Sedan,6646.61,0,59.0,668.0,14125.0,No,Employed,Single,1,26706.85,80.0
P100143,28,Male,South,189,9,Truck,13330.29,1,10.0,595.0,10997.0,No,Employed,Married,1,29628.56,28.0
P100144,68,Male,South,44,7,Sedan,11140.87,0,49.0,590.0,18067.0,No,Employed,Married,1,38775.79,68.0
P100145,34,Male,East,139,6,Sedan,7376.93,0,18.0,691.0,11338.0,No,Retired,Single,1,24558.96,35.0
P100146,25,Female,North,139,8,SUV,11369.72,0,8.0,677.0,12605.0,No,Employed,Single,1,25616.86,26.0
P100147,52,Male,South,150,0,SUV,9796.25,0,31.0,620.0,11871.0,No,Unemployed,Single,1,27412.42,53.0
P100148,52,Female,North,85,10,Sedan,10224.66,0,34.0,746.0,14305.0,No,Employed,Married,1,59442.24,52.0
P100149,50,Female,East,219,2,Sedan,17429.34,1,29.0,593.0,15157.0,No,Self-employed,Married,1,39441.41,50.0
P100150,76,Female,South,82,17,Motorcycle,14871.62,0,59.0,681.0,18925.0,Yes,Employed,Single,1,44302.41,77.0
P100151,22,Female,North,190,5,Sedan,16190.67,0,5.0,682.0,18057.0,No,Employed,Single,0,0.0,
P100152,59,Male,North,234,10,SUV,18867.93,0,38.0,654.0,12216.0,Yes,Employed,Single,0,0.0,
P100153,56,Male,South,176,4,Motorcycle,12500.07,0,35.0,739.0,11785.0,No,Self-employed,Single,1,24930.62,56.0
P100154,75,Female,East,232,19,SUV,13009.71,1,,764.0,10875.0,Yes,Retired,Married,1,47103.69,76.0
P100155,58,Male,West,102,3,Sedan,13306.42,1,38.0,569.0,17041.0,No,Unemployed,Married,0,0.0,
P100156,45,Male,North,222,7,Sedan,16438.58,0,25.0,491.0,13227.0,No,Employed,Single,1,40322.78,45.0
P100157,24,Female,East,63,9,SUV,16216.63,0,3.0,616.0,24308.0,No,Self-employed,Married,1,30020.34,25.0
P100158,26,Male,South,179,2,Truck,9652.67,0,10.0,581.0,11682.0,No,Employed,Married,1,39562.21,27.0
P100159,25,Female,North,173,12,SUV,7425.93,1,4.0,619.0,19607.0,No,Employed,Married,1,38497.49,26.0
P100160,29,Male,North,239,16,Sedan,7699.22,0,12.0,777.0,19651.0,No,Self-employed,Married,1,29046.0,29.0
P100161,51,Female,North,237,4,Sedan,12206.93,0,33.0,839.0,19518.0,No,Employed,Married,0,0.0,
P100162,50,Male,East,33,7,Sedan,7068.74,2,30.0,584.0,10352.0,No,Employed,Married,1,44529.73,50.0
P100163,65,Female,North,213,18,Truck,13454.19,0,46.0,666.0,11578.0,No,Employed,Married,1,75945.0,65.0
P100164,72,Male,North,60,17,SUV,3491.42,0,51.0,664.0,11190.0,No,Employed,Married,0,0.0,
P100165,40,Male,South,123,0,Sedan,19481.59,0,19.0,674.0,19368.0,Yes,Employed,Single,1,30069.53,40.0
P100166,79,Female,North,2,3,Truck,6513.85,0,60.0,554.0,9749.0,No,Employed,Single,0,0.0,
P100167,41,Male,East,141,17,SUV,9391.19,0,24.0,737.0,9108.0,Yes,Employed,Single,1,22070.61,41.0
P100168,54,Male,South,194,13,Motorcycle,9689.52,0,35.0,713.0,15469.0,No,Employed,Married,1,35997.81,54.0
P100169,52,Female,West,57,10,Sedan,17855.78,0,34.0,616.0,5361.0,Yes,Self-employed,Single,1,41267.11,52.0
P100170,61,Female,South,171,8,SUV,11971.04,0,45.0,736.0,15841.0,No,Employed,Single,0,0.0,
P100171,57,Male,North,45,12,Sedan,7735.49,0,38.0,549.0,6294.0,No,Retired,Married,1,39052.75,57.0
P100172,39,Female,West,31,16,Truck,11711.46,0,18.0,531.0,9942.0,No,Employed,Single,1,64047.72,39.0
P100173,44,Male,South,138,14,Truck,12179.2,0,27.0,669.0,17777.0,No,Employed,Married,1,67957.99,45.0
P100174,52,Male,North,23,1,Truck,13547.3,0,31.0,680.0,9221.0,Yes,Employed,Married,0,0.0,
P100175,18,Female,South,214,5,Sedan,7621.17,0,0.0,639.0,13533.0,No,Employed,Single,0,0.0,
P100176,52,Female,East,239,6,SUV,15538.05,0,36.0,728.0,18043.0,Yes,Self-employed,Married,0,0.0,
P100177,54,Female,North,29,1,Sedan,12520.07,0,34.0,604.0,6306.0,Yes,Unemployed,Married,1,32967.78,54.0
P100178,64,Female,East,225,12,Truck,17867.16,0,44.0,734.0,12866.0,No,Self-employed,Single,1,54521.0,65.0
P100179,31,Male,North,31,9,Sedan,11306.03,0,10.0,705.0,15234.0,Yes,Employed,Single,1,27570.2,32.0
P100180,20,Male,East,206,15,Sedan,11698.16,0,0.0,780.0,4901.0,Yes,Employed,Single,1,20502.62,21.0
P100181,18,Male,West,202,8,Sedan,11337.18,0,2.0,526.0,6811.0,No,Employed,Married,1,18020.86,18.0
P100182,22,Female,East,18,7,Sedan,17006.67,0,1.0,616.0,20079.0,Yes,Retired,Married,1,19613.71,23.0
P100183,43,Female,South,11,14,Sedan,14739.36,0,25.0,587.0,6270.0,No,Retired,Married,1,34071.71,43.0
P100184,72,Male,North,103,6,Sedan,9075.44,0,56.0,704.0,10252.0,No,Unemployed,Single,1,20185.82,73.0
P100185,80,Male,South,47,18,Sedan,22701.62,0,60.0,760.0,1921.0,No,Employed,Single,1,43353.01,80.0
P100186,31,Male,East,3,3,Sedan,9434.21,0,13.0,624.0,8071.0,No,Retired,Married,0,0.0,
P100187,56,Female,North,130,8,Truck,9899.46,0,36.0,692.0,15881.0,No,Self-employed,Single,1,71225.42,57.0
P100188,44,Male,East,182,18,Sedan,15855.25,0,23.0,751.0,16793.0,No,Employed,Single,1,29896.67,44.0
P100189,26,Male,West,72,1,Motorcycle,11357.79,0,10.0,673.0,15969.0,No,Employed,Single,1,39589.78,26.0
P100190,32,Male,West,159,6,Motorcycle,7687.37,0,15.0,,11826.0,No,Employed,Married,0,0.0,
P100191,32,Female,West,136,18,Sedan,16929.33,0,12.0,511.0,6625.0,No,Employed,Married,1,33512.24,33.0
P100192,43,Female,East,171,5,Sedan,20009.89,0,26.0,760.0,14068.0,No,Employed,Married,0,0.0,
P100193,59,Female,East,176,14,Sedan,7899.57,0,38.0,629.0,9792.0,No,Unemployed,Married,1,30600.97,59.0
P100194,77,Male,West,130,6,SUV,16897.84,0,59.0,837.0,3959.0,No,Employed,Single,1,35158.64,78.0
P100195,30,Male,East,22,5,SUV,10023.1,0,10.0,590.0,12144.0,No,Employed,Married,1,13991.98,30.0
P100196,68,Female,South,124,0,Sedan,3672.12,0,,683.0,18350.0,No,Employed,Married,1,51639.35,69.0
P100197,80,Female,East,133,13,Sedan,14607.18,0,60.0,708.0,17552.0,No,Employed,Married,1,65995.27,81.0
P100198,49,Male,South,135,0,SUV,4514.17,1,32.0,475.0,17888.0,No,Employed,Single,1,36121.22,49.0
P100199,56,Male,West,20,5,Sedan,9079.26,0,40.0,774.0,13514.0,Yes,Employed,Single,0,0.0,
P100200,66,Male,East,220,17,Motorcycle,10899.9,0,46.0,702.0,7352.0,No,Employed,Married,1,47686.98,67.0
P100201,69,Male,West,77,16,Sedan,11868.37,0,53.0,545.0,14936.0,No,Retired,Married,1,53336.53,70.0
P100202,78,Female,North,130,1,Sedan,16372.63,1,58.0,676.0,12755.0,Yes,Retired,Married,1,37435.73,79.0
P100203,49,Male,East,32,7,Sedan,9546.58,0,30.0,675.0,10714.0,No,Employed,Married,1,38327.77,49.0
P100204,21,Male,East,90,20,SUV,17583.15,0,5.0,641.0,15334.0,No,Employed,Married,1,10091.37,22.0
P100205,47,Male,West,3,1,Sedan,11633.97,1,28.0,608.0,14284.0,No,Employed,Married,1,36380.03,47.0
P100206,54,Male,West,169,15,Sedan,7655.21,0,37.0,645.0,8901.0,Yes,Employed,Married,0,0.0,
P100207,40,Male,West,42,3,Sedan,14377.07,2,19.0,710.0,8668.0,No,Employed,Married,1,35995.59,40.0
P100208,56,Male,North,77,1,Sedan,19200.58,0,40.0,707.0,6236.0,Yes,Self-employed,Married,1,32326.53,57.0
P100209,62,Male,North,213,4,SUV,10157.77,1,46.0,651.0,13283.0,Yes,Employed,Single,1,39739.92,62.0
P100210,32,Female,West,173,16,Sedan,7823.74,1,15.0,666.0,16536.0,Yes,Employed,Single,1,52164.39,32.0
P100211,60,Male,East,101,1,Truck,9693.54,0,44.0,641.0,9043.0,No,Employed,Married,0,0.0,
P100212,46,Male,East,215,13,Sedan,5053.95,0,26.0,582.0,6670.0,No,Unemployed,Married,1,39585.21,46.0
P100213,53,Female,West,199,19,SUV,13223.21,0,34.0,646.0,14517.0,Yes,Employed,Single,1,35221.43,53.0
P100214,30,Female,South,145,6,SUV,5791.08,1,12.0,599.0,19894.0,No,Employed,Married,1,12413.45,30.0
P100215,49,Female,North,220,14,SUV,14566.15,0,29.0,580.0,21951.0,Yes,Employed,Married,1,29338.7,49.0
P100216,24,Male,North,128,17,SUV,10934.51,0,6.0,481.0,19577.0,Yes,Employed,Married,1,22767.64,24.0
P100217,76,Male,South,47,12,Sedan,14775.21,0,59.0,621.0,11753.0,No,Self-employed,Married,1,49603.0,77.0
P100218,68,Male,West,222,11,Motorcycle,10948.61,1,51.0,705.0,7496.0,No,Employed,Married,1,45242.23,69.0
P100219,39,Male,East,197,1,SUV,13942.66,1,23.0,736.0,15038.0,No,Employed,Single,1,35882.72,40.0
P100220,45,Male,East,152,11,Sedan,8049.48,0,25.0,681.0,11647.0,Yes,Employed,Single,0,0.0,
P100221,19,Female,North,199,5,Sedan,13115.93,0,0.0,559.0,11004.0,Yes,Unemployed,Married,1,15148.9,20.0
P100222,59,Male,South,123,0,Sedan,9373.99,0,41.0,639.0,21503.0,No,Employed,Married,0,0.0,
P100223,62,Male,East,34,20,SUV,14438.46,0,43.0,569.0,18927.0,No,Retired,Married,1,22807.1,63.0
P100224,79,Female,North,178,0,Sedan,11424.01,0,58.0,784.0,15184.0,Yes,Unemployed,Married,1,31446.91,80.0
P100225,74,Male,East,42,14,Motorcycle,16409.1,0,54.0,623.0,11518.0,No,Unemployed,Single,0,0.0,
P100226,70,Female,East,33,15,Sedan,10992.33,0,49.0,615.0,12038.0,No,Unemployed,Single,1,31121.16,71.0
P100227,23,Female,East,123,6,SUV,9005.96,0,6.0,715.0,4280.0,No,Employed,Single,1,28399.01,23.0
P100228,45,Female,North,27,13,Truck,12541.99,0,25.0,647.0,17230.0,No,Unemployed,Married,1,50245.22,46.0
